,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,0,0,0,0,0,0,0,0,-p19*x16/x3,-x2/x3,0,0,0,0,0,0,0,0,0,-2*x2/p34,2*x23/x3,0,0,-x2/x3,0,0,0,0
1,p34*x3/(x2*x4),0,0,0,0,0,0,0,-p19*p34*x16/(x2*x4),-p34/x4,0,0,0,0,0,0,0,0,0,-x3/x4,p34*x23/(x2*x4),0,0,-p34/x4,0,0,0,0
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,p19*x16/x4,x2/x4,0,-x22/x4,0,0,0,0,0,0,0,x2*x3/(p34*x4),-x23/x4,1/x4,0,x2/x4,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1/x5,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,-x5/x1,0,0,0,0,0,0,0,0,0,0,0,1/x1,0,0,-x25/x1,0,0
6,0,0,0,0,0,0,0,x14*x21**(-p23)*(p22**p23 + x21**p23),0,0,0,0,x17*x21**(-p23)*(p22**p23 + x21**p23),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,x14/x15,0,0,0,0,x17/x15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,x20,0,0,0,0,0,0,0,0,0,0,0,0,x21,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-x21/(x20*(p14*p35**p15/(p12**p15 + p35**p15) - 1)),0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,x14/(p19*x11),0,0,0,0,x14/(p19*x11),-x16/x11,0,0,0,x17/(p19*x11),0,0,-x8**p2*x9/(k3*p19*x11*(p1**p2 + x8**p2)),k2*x6/(k3*p19*x11*(c2**p18*p17/(c2**p18 + p16**p18) + 1)),v1*v3**4*x10**(-p4)*x27**(-p8)*(p3**p4 + x10**p4)*(p7**p8 + x27**p8)*(k1*p19**2*p27*p28*p29*p30*x10**p4*x10**p6*x11*x12**2*x14**4*x18*x19**4*x24*x27**p10*x27**p8*x6*x7**2*(c2**p18*p17/(c2**p18 + p16**p18) + 1)/(k3*v1*v3**4*(p3**p4 + x10**p4)*(p5**p6 + x10**p6)*(p7**p8 + x27**p8)*(p9**p10 + x27**p10)) - k1*p19**2*p27*p28*p29*p30*x10**p4*x10**p6*x11*x12**2*x14**4*x18*x19**4*x24*x27**p10*x27**p8*x6*x7**2/(k3*v1*v3**4*(p3**p4 + x10**p4)*(p5**p6 + x10**p6)*(p7**p8 + x27**p8)*(p9**p10 + x27**p10)))/(p19**3*p27*p29*x11**2*x12**2*x14**4*x18*x19**4*x24*x6*x7*(c2**p18*p17/(c2**p18 + p16**p18) + 1)),x24/(p19*x11),0,0,0,0,0,0,0,k2*x6/(k3*(c2**p18*p17/(c2**p18 + p16**p18) + 1)),0
12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,v1*x12/(x11*x24),0,0,0,0,0,0,0,0,0,0,0,v1*x8**p2*x9/(k3*x11*x24*(p1**p2 + x8**p2)),-k2*v1*x6/(k3*x11*x24*(c2**p18*p17/(c2**p18 + p16**p18) + 1)),v1**2*v3**2*x10**(-p4)*x27**(-p8)*(p3**p4 + x10**p4)*(p7**p8 + x27**p8)*(-k1*p19**2*p27*p28*p29*p30*x10**p4*x10**p6*x11*x12**2*x14**2*x19**3*x24*x27**p10*x27**p8*x6*x7**2*(c2**p18*p17/(c2**p18 + p16**p18) + 1)/(k3*v1*v3**2*(p3**p4 + x10**p4)*(p5**p6 + x10**p6)*(p7**p8 + x27**p8)*(p9**p10 + x27**p10)) + k1*p19**2*p27*p28*p29*p30*x10**p4*x10**p6*x11*x12**2*x14**2*x19**3*x24*x27**p10*x27**p8*x6*x7**2/(k3*v1*v3**2*(p3**p4 + x10**p4)*(p5**p6 + x10**p6)*(p7**p8 + x27**p8)*(p9**p10 + x27**p10)))/(p19**2*p27*p29*x11**2*x12**2*x14**2*x19**3*x24**2*x6*x7*(c2**p18*p17/(c2**p18 + p16**p18) + 1)),-v1/x11,0,0,0,0,0,0,0,-k2*p19*v1*x6/(k3*x24*(c2**p18*p17/(c2**p18 + p16**p18) + 1)),0
14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,v1*x16/(x11*x2),0,0,0,p19*v1*x16/(x11*x2),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,v3*x13/(x14*x19),0,0,0,0,0,0,0,0,0,-v3*x8**p2*x9/(k3*x14*x19*(p1**p2 + x8**p2)),k2*v3*x6/(k3*x14*x19*(c2**p18*p17/(c2**p18 + p16**p18) + 1)),v1*v3**3*x10**(-p4)*x27**(-p8)*(p3**p4 + x10**p4)*(p7**p8 + x27**p8)*(k1*p19**2*p27*p28*p29*p30*x10**p4*x10**p6*x11*x12**2*x14**2*x19**3*x24*x27**p10*x27**p8*x6*x7**2*(c2**p18*p17/(c2**p18 + p16**p18) + 1)/(k3*v1*v3**2*(p3**p4 + x10**p4)*(p5**p6 + x10**p6)*(p7**p8 + x27**p8)*(p9**p10 + x27**p10)) - k1*p19**2*p27*p28*p29*p30*x10**p4*x10**p6*x11*x12**2*x14**2*x19**3*x24*x27**p10*x27**p8*x6*x7**2/(k3*v1*v3**2*(p3**p4 + x10**p4)*(p5**p6 + x10**p6)*(p7**p8 + x27**p8)*(p9**p10 + x27**p10)))/(p19**2*p27*p29*x11*x12**2*x14**3*x19**4*x24*x6*x7*(c2**p18*p17/(c2**p18 + p16**p18) + 1)),v3*x24/(x14*x19),0,0,0,0,0,0,0,k2*p19*v3*x11*x6/(k3*x14*x19*(c2**p18*p17/(c2**p18 + p16**p18) + 1)),0
18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,v3*x17/(x14*x18),0,-p19*v3*x16/(x14*x18),0,0,0,v3*x17/(x14*x18),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,p19*x16/x18,0,0,0,-x17/x18,0,0,0,0,0,0,0,0,0,0,x2/x18,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x8**p2*x9/(k3*p19*x12*(p1**p2 + x8**p2)),-k2*x6/(k3*p19*x12*(c2**p18*p17/(c2**p18 + p16**p18) + 1)),v1*v3**2*x10**(-p4)*x27**(-p8)*(p3**p4 + x10**p4)*(p7**p8 + x27**p8)*(-k1*p19*p27*p28*p29*p30*x10**p4*x10**p6*x11*x12*x14**2*x19**3*x24*x27**p10*x27**p8*x6*x7**2*(c2**p18*p17/(c2**p18 + p16**p18) + 1)/(k3*v1*v3**2*(p3**p4 + x10**p4)*(p5**p6 + x10**p6)*(p7**p8 + x27**p8)*(p9**p10 + x27**p10)) + k1*p19*p27*p28*p29*p30*x10**p4*x10**p6*x11*x12*x14**2*x19**3*x24*x27**p10*x27**p8*x6*x7**2/(k3*v1*v3**2*(p3**p4 + x10**p4)*(p5**p6 + x10**p6)*(p7**p8 + x27**p8)*(p9**p10 + x27**p10)))/(p19**2*p27*p29*x11*x12**2*x14**2*x19**3*x24*x6*x7*(c2**p18*p17/(c2**p18 + p16**p18) + 1)),-x24/(p19*x12),0,0,0,0,0,0,0,-k2*x11*x6/(k3*x12*(c2**p18*p17/(c2**p18 + p16**p18) + 1)),0
24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1/x22,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,-x21**(-p21)*x9*(p20**p21 + x21**p21)/(p24*Abs(c1)**p25/(p26**p25 + Abs(c1)**p25) - 1),0,0,v1*v3*x21**(-p21)*(p20**p21 + x21**p21)*(k2*p19*x11*x12*x14*x19**2*x24*x6**2*(c2**p18*p17/(c2**p18 + p16**p18) + 1)/(v1*v3) - k2*p19*x11*x12*x14*x19**2*x24*x6**2/(v1*v3))/(p19*x11*x12*x14*x19**2*x24*x6*(c2**p18*p17/(c2**p18 + p16**p18) + 1)*(p24*Abs(c1)**p25/(p26**p25 + Abs(c1)**p25) - 1)),-v1*v3*x10**(-p4)*x21**(-p21)*x27**(-p8)*(p20**p21 + x21**p21)*(p3**p4 + x10**p4)*(p7**p8 + x27**p8)*(k1*p19*p27*p28*p29*p30*x10**p4*x10**p6*x11*x12*x14*x19**2*x24*x27**p10*x27**p8*x6*x7**2*(c2**p18*p17/(c2**p18 + p16**p18) + 1)/(v1*v3*(p3**p4 + x10**p4)*(p5**p6 + x10**p6)*(p7**p8 + x27**p8)*(p9**p10 + x27**p10)) - k1*p19*p27*p28*p29*p30*x10**p4*x10**p6*x11*x12*x14*x19**2*x24*x27**p10*x27**p8*x6*x7**2/(v1*v3*(p3**p4 + x10**p4)*(p5**p6 + x10**p6)*(p7**p8 + x27**p8)*(p9**p10 + x27**p10)))/(p19*p27*p29*x11*x12*x14*x19**2*x24*x6*x7*(c2**p18*p17/(c2**p18 + p16**p18) + 1)*(p24*Abs(c1)**p25/(p26**p25 + Abs(c1)**p25) - 1)),0,0,0,0,0,0,0,0,v1*v3*x21**(-p21)*(p20**p21 + x21**p21)*(-k2*p19**2*x11**2*x12*x14*x19**2*x24*x6**2/(v1*v3) + p19**2*x11**2*x12*x14*x19**2*x24*x6**2*(c2**p18*p17/(c2**p18 + p16**p18) + 1)/(v1*v3))/(p19*x11*x12*x14*x19**2*x24*x6*(c2**p18*p17/(c2**p18 + p16**p18) + 1)*(p24*Abs(c1)**p25/(p26**p25 + Abs(c1)**p25) - 1)),0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x8**p2*x9/(k3*x19*(p1**p2 + x8**p2)),-k2*x6/(k3*x19*(c2**p18*p17/(c2**p18 + p16**p18) + 1)),v1*v3*x10**(-p4)*x27**(-p8)*(p3**p4 + x10**p4)*(p7**p8 + x27**p8)*(-k1*p19*p27*p28*p29*p30*x10**p4*x10**p6*x11*x12*x14*x19*x24*x27**p10*x27**p8*x6*x7**2*(c2**p18*p17/(c2**p18 + p16**p18) + 1)/(k3*v1*v3*(p3**p4 + x10**p4)*(p5**p6 + x10**p6)*(p7**p8 + x27**p8)*(p9**p10 + x27**p10)) + k1*p19*p27*p28*p29*p30*x10**p4*x10**p6*x11*x12*x14*x19*x24*x27**p10*x27**p8*x6*x7**2/(k3*v1*v3*(p3**p4 + x10**p4)*(p5**p6 + x10**p6)*(p7**p8 + x27**p8)*(p9**p10 + x27**p10)))/(p19*p27*p29*x11*x12*x14*x19**2*x24*x6*x7*(c2**p18*p17/(c2**p18 + p16**p18) + 1)),-x24/x19,0,0,0,0,0,0,0,-k2*p19*x11*x6/(k3*x19*(c2**p18*p17/(c2**p18 + p16**p18) + 1)),0
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1/(c2**p18*p17/(c2**p18 + p16**p18) + 1),k1*p28*p30*x10**p6*x27**p10*x7/(k2*x6*(p5**p6 + x10**p6)*(p9**p10 + x27**p10)*(c2**p18*p17/(c2**p18 + p16**p18) + 1)),0,0,0,0,0,0,0,0,-p19*x11/(c2**p18*p17/(c2**p18 + p16**p18) + 1),0
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x10**(-p4)*x27**(-p8)*x8**p2*x9*(p3**p4 + x10**p4)*(p7**p8 + x27**p8)/(k1*p27*p29*x7*(p1**p2 + x8**p2)),0,-p28*p30*x10**(-p4)*x10**p6*x27**p10*x27**(-p8)*(p3**p4 + x10**p4)*(p7**p8 + x27**p8)/(p27*p29*(p5**p6 + x10**p6)*(p9**p10 + x27**p10)),0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x2*x3/(p34*x23),-1,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x25/x1,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x26/x1,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
