,ApoA1_pl_clearance_rate_k,ApoB_pl_clearance_rate_k,Chol_ic_P_elimination_rate_k,Chol_ic_P_production_rate_k,Chol_ic_P_to_HDL_pl_rate_k,HDL_to_LDL_exchange_rate_k,HDL_to_VLDL_exchange_rate_k,LDLR_P_internalization_rate_k,LDLR_P_recycling_rate_k,LDLR_en_P_degradation_rate_k,LDLR_ic_P_production_rate_k,LDLR_ic_to_cs_P_trafficking_rate_k,LDL_LDLR_P_internalization_rate_k,LDL_LDLR_en_Kd*LDL_LDLR_en_association_rate_k,LDL_LDLR_en_association_rate_k,LDL_LDLR_pl_Kd*LDL_LDLR_pl_association_rate_k,LDL_LDLR_pl_association_rate_k,LDL_en_to_Chol_ic_P_rate_k,LDL_pl_LDLRind_P_uptake_rate_k,MAb_F*MAb_Ka,MAb_Ka*(-MAb_F + 1),MAb_PC9_2_Kd*MAb_PC9_2_association_rate_k,MAb_PC9_2_association_rate_k,MAb_PC9_2_kel,MAb_PCSK9_Kd*MAb_PCSK9_association_rate_k,MAb_PCSK9_association_rate_k,MAb_PCSK9_kel,MAb_dose,MAb_kel,PC9_LDLR_P_internalization_rate_k,PC9_LDLR_en_P_degradation_rate_k,PCSK9_LDLR_en_Kd*PCSK9_LDLR_en_association_rate_k,PCSK9_LDLR_en_association_rate_k,PCSK9_LDLR_pl_Kd*PCSK9_LDLR_pl_association_rate_k,PCSK9_LDLR_pl_association_rate_k,PCSK9_en_P_degradation_rate_k,PCSK9_pl_P_uptake_rate_k,PCSK9_pl_clearance_rate_k,SREBP_ic_P_degradation_rate_k,SREBP_ic_P_production_rate_k,SREBP_ic_to_nu_P_activation_rate_k,SREBP_nu_P_degradation_rate_k,StatinM_kel,Statin_F*Statin_Ka,Statin_Ka*(-Statin_F + 1),Statin_dose,Statin_kel,Statin_kmet,Statin_pc_to_pl_rate_k,Statin_pl_to_pc_rate_k,VLDL_pl_P_LDLRuptake_rate_k,VLDL_pl_P_uptake_rate_k,VLDL_to_LDL_conversion_rate_k
VP0,0.0,0.0,0.0,150000.0,0.00093,-0.031127668030089116,0.08789760102687147,-10.071241790545903,8.3,0.035,0.6192211458845365,0.20640703750896328,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-75.91463414634147,0.2,5.574483081719833,0.6368653060710285,126.0,0.13439535921463636,-32.45682428571428,0.0,0.1,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.0701766466929472
VP1,0.0,0.0,0.0,150000.0,0.00093,0.039933769605278654,0.01683616339150369,-10.071241790545903,8.3,0.035,0.6192211458845365,0.20640703750896328,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-75.91463414634147,0.2,8.652961605258765,0.8856276997767998,126.0,0.13439535921463636,-32.45682428571428,0.0,0.1,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.01344184000686303
VP10,0.0,0.0,0.0,150000.0,0.00093,0.04311166120336895,0.013658271793413392,-10.071241790545903,8.3,0.035,0.6192211458845365,0.20640703750896328,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-75.91463414634147,0.2,7.878318409373621,0.8230311624929365,126.0,0.13439535921463636,-32.45682428571428,0.0,0.1,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.010904640205022138
VP11,0.0,0.0,0.0,150000.0,0.00093,0.031725680700245354,0.02504425229653699,-10.071241790545903,8.3,0.035,0.6192211458845365,0.20640703750896328,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-75.91463414634147,0.2,10.570357937535123,1.0405666079590838,126.0,0.13439535921463636,-32.45682428571428,0.0,0.1,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.019995103672577026
VP12,0.0,0.0,0.0,150000.0,0.00093,0.026413845608100842,0.030356087388681497,-10.071241790545903,8.3,0.035,0.6192211458845365,0.20640703750896328,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-75.91463414634147,0.2,5.144969267448117,0.602157614024147,126.0,0.13439535921463636,-32.45682428571428,0.0,0.1,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.024236024587343103
VP13,0.0,0.0,0.0,150000.0,0.00093,0.048992411569070124,0.007777521427712218,-10.071241790545903,8.3,0.035,0.6192211458845365,0.20640703750896328,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-75.91463414634147,0.2,6.188612266945843,0.6864911991845446,126.0,0.13439535921463636,-32.45682428571428,0.0,0.1,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.006209502500671527
VP14,0.0,0.0,0.0,150000.0,0.00093,0.037432533493270116,0.019337399503512227,-10.071241790545903,8.3,0.035,0.6192211458845365,0.20640703750896328,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-75.91463414634147,0.2,6.97124989557979,0.749733742023329,126.0,0.13439535921463636,-32.45682428571428,0.0,0.1,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.015438804211544824
VP15,0.0,0.0,0.0,150000.0,0.00093,0.03826847612469682,0.01850145687208552,-10.071241790545903,8.3,0.035,0.6192211458845365,0.20640703750896328,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-75.91463414634147,0.2,8.668506117546551,0.8868838040686213,126.0,0.13439535921463636,-32.45682428571428,0.0,0.1,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.014771395203609896
VP16,0.0,0.0,0.0,150000.0,0.00093,0.045184804327498315,0.01158512866928402,-10.071241790545903,8.3,0.035,0.6192211458845365,0.20640703750896328,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-75.91463414634147,0.2,6.964404044442334,0.7491805498204647,126.0,0.13439535921463636,-32.45682428571428,0.0,0.1,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.009249461555476715
VP17,0.0,0.0,0.0,150000.0,0.00093,0.04290961311222938,0.013860319884552958,-10.071241790545903,8.3,0.035,0.6192211458845365,0.20640703750896328,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-75.91463414634147,0.2,6.315150538086349,0.6967163682034649,126.0,0.13439535921463636,-32.45682428571428,0.0,0.1,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.011065953566720724
VP18,0.0,0.0,0.0,150000.0,0.00093,-0.002220637642341712,0.05899057063912406,-10.071241790545903,8.3,0.035,0.6192211458845365,0.20640703750896328,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-75.91463414634147,0.2,6.806297011379071,0.7364044061164245,126.0,0.13439535921463636,-32.45682428571428,0.0,0.1,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.04709753606007487
VP19,0.0,0.0,0.0,150000.0,0.00093,0.030465433007661736,0.026304499989120607,-10.071241790545903,8.3,0.035,0.6192211458845365,0.20640703750896328,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-75.91463414634147,0.2,6.1231039538078695,0.6811976736136414,126.0,0.13439535921463636,-32.45682428571428,0.0,0.1,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.02100127398934147
VP2,0.0,0.0,0.0,150000.0,0.00093,0.03546643750699709,0.021303495489785256,-10.071241790545903,8.3,0.035,0.6192211458845365,0.20640703750896328,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-75.91463414634147,0.2,5.960039386617904,0.6680209268042663,126.0,0.13439535921463636,-32.45682428571428,0.0,0.1,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.017008517398039227
VP3,0.0,0.0,0.0,150000.0,0.00093,0.014527797948821808,0.04224213504796053,-10.071241790545903,8.3,0.035,0.6192211458845365,0.20640703750896328,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-75.91463414634147,0.2,5.298093153162275,0.6145310848970229,126.0,0.13439535921463636,-32.45682428571428,0.0,0.1,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.03372573713257803
VP4,0.0,0.0,0.0,150000.0,0.00093,0.03952155860349673,0.01724837439328561,-10.071241790545903,8.3,0.035,0.6192211458845365,0.20640703750896328,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-75.91463414634147,0.2,3.309891860420788,0.45387064534238397,126.0,0.13439535921463636,-32.45682428571428,0.0,0.1,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.013770945528481899
VP5,0.0,0.0,0.0,150000.0,0.00093,0.041562737747640216,0.015207195249142129,-10.071241790545903,8.3,0.035,0.6192211458845365,0.20640703750896328,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-75.91463414634147,0.2,6.002599036128313,0.6714600413559952,126.0,0.13439535921463636,-32.45682428571428,0.0,0.1,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.012141286630376384
VP6,0.0,0.0,0.0,150000.0,0.00093,0.027329583961514477,0.029440349035267863,-10.071241790545903,8.3,0.035,0.6192211458845365,0.20640703750896328,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-75.91463414634147,0.2,5.557579064093663,0.6354993443286363,126.0,0.13439535921463636,-32.45682428571428,0.0,0.1,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.023504907399388868
VP7,0.0,0.0,0.0,150000.0,0.00093,0.0421612047130224,0.014608728283759942,-10.071241790545903,8.3,0.035,0.6192211458845365,0.20640703750896328,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-75.91463414634147,0.2,10.889937297374122,1.066390834415313,126.0,0.13439535921463636,-32.45682428571428,0.0,0.1,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.011663476038319538
VP8,0.0,0.0,0.0,150000.0,0.00093,0.03313507498442969,0.023634858012352652,-10.071241790545903,8.3,0.035,0.6192211458845365,0.20640703750896328,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-75.91463414634147,0.2,9.326000121158106,0.9400138749575284,126.0,0.13439535921463636,-32.45682428571428,0.0,0.1,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.01886985607108644
VP9,0.0,0.0,0.0,150000.0,0.00093,0.03456133930927469,0.022208593687507647,-10.071241790545903,8.3,0.035,0.6192211458845365,0.20640703750896328,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-75.91463414634147,0.2,5.095131610641853,0.598130386057794,126.0,0.13439535921463636,-32.45682428571428,0.0,0.1,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.01773113958228484
